"country_id","country","email_list"
1,"Afghanistan","vera.mccoy@sakilacustomer.org"
2,"Algeria","judy.gray@sakilacustomer.org;june.carroll@sakilacustomer.org;mario.cheatham@sakilacustomer.org"
3,"American Samoa","anthony.schwab@sakilacustomer.org"
4,"Angola","martin.bales@sakilacustomer.org;claude.herzog@sakilacustomer.org"
5,"Anguilla","bobby.boudreau@sakilacustomer.org"
6,"Argentina","kimberly.lee@sakilacustomer.org;julia.flores@sakilacustomer.org;florence.woods@sakilacustomer.org;willie.howell@sakilacustomer.org;lydia.burke@sakilacustomer.org;jason.morrissey@sakilacustomer.org;eric.robert@sakilacustomer.org;willie.markham@sakilacustomer.org;leonard.schofield@sakilacustomer.org;micheal.forman@sakilacustomer.org;darryl.ashcraft@sakilacustomer.org;jordan.archuleta@sakilacustomer.org;perry.swafford@sakilacustomer.org"
7,"Armenia","stephanie.mitchell@sakilacustomer.org"
9,"Austria","jill.hawkins@sakilacustomer.org;audrey.ray@sakilacustomer.org;nora.herrera@sakilacustomer.org"
10,"Azerbaijan","andrew.purdy@sakilacustomer.org;raymond.mcwhorter@sakilacustomer.org"
11,"Bahrain","seth.hannon@sakilacustomer.org"
12,"Bangladesh","michelle.clark@sakilacustomer.org;frank.waggoner@sakilacustomer.org;stephen.qualls@sakilacustomer.org"
13,"Belarus","clara.shaw@sakilacustomer.org;cory.meehan@sakilacustomer.org"
14,"Bolivia","joel.francisco@sakilacustomer.org;jon.wiles@sakilacustomer.org"
15,"Brazil","debra.nelson@sakilacustomer.org;frances.parker@sakilacustomer.org;denise.kelly@sakilacustomer.org;jane.bennett@sakilacustomer.org;tina.simmons@sakilacustomer.org;ellen.simpson@sakilacustomer.org;charlotte.hunter@sakilacustomer.org;marion.snyder@sakilacustomer.org;ida.andrews@sakilacustomer.org;terri.vasquez@sakilacustomer.org;natalie.meyer@sakilacustomer.org;tamara.nguyen@sakilacustomer.org;marian.mendoza@sakilacustomer.org;maxine.silva@sakilacustomer.org;joseph.joy@sakilacustomer.org;daniel.cabral@sakilacustomer.org;george.linton@sakilacustomer.org;timothy.bunn@sakilacustomer.org;harold.martino@sakilacustomer.org;justin.ngo@sakilacustomer.org;nicholas.barfield@sakilacustomer.org;jeremy.hurtado@sakilacustomer.org;antonio.meek@sakilacustomer.org;jesus.mccartney@sakilacustomer.org;francisco.skidmore@sakilacustomer.org;cody.nolen@sakilacustomer.org;clayton.barbee@sakilacustomer.org;kent.arsenault@sakilacustomer.org"
16,"Brunei","lois.butler@sakilacustomer.org"
17,"Bulgaria","jessie.banks@sakilacustomer.org;tyrone.asher@sakilacustomer.org"
18,"Cambodia","allison.stanley@sakilacustomer.org;elmer.noe@sakilacustomer.org"
19,"Cameroon","albert.crouse@sakilacustomer.org;lawrence.lawton@sakilacustomer.org"
